"","id","quality","severity","patch","week","varability"
"710",50,"good","fastdrying","fastincrease",12,8
"711",51,"good","fastdrying","fastincrease",12,0
"712",52,"good","fastdrying","fastincrease",12,2
"713",53,"good","fastdrying","fastincrease",12,1
"714",54,"good","fastdrying","fastincrease",12,19
"715",55,"good","fastdrying","slowincrease",12,34
"716",56,"good","fastdrying","slowincrease",12,10
"717",57,"good","fastdrying","slowincrease",12,0
"718",58,"good","fastdrying","slowincrease",12,0
"719",59,"good","fastdrying","slowincrease",12,4
"720",60,"good","fastdrying","slowincrease",12,0
"727",7,"poor","slowdrying","fastincrease",13,0
"728",8,"poor","slowdrying","fastincrease",13,0
"729",9,"poor","slowdrying","fastincrease",13,0
"730",10,"poor","slowdrying","fastincrease",13,0
"731",11,"poor","slowdrying","fastincrease",13,45
"732",12,"poor","slowdrying","fastincrease",13,92
"733",13,"poor","slowdrying","slowincrease",13,0
"734",14,"poor","slowdrying","slowincrease",13,1
"735",15,"poor","slowdrying","slowincrease",13,0
"736",16,"poor","slowdrying","slowincrease",13,0
"737",17,"poor","slowdrying","slowincrease",13,0
"738",18,"poor","slowdrying","slowincrease",13,4
"739",19,"poor","fastdrying","fastincrease",13,0
"740",20,"poor","fastdrying","fastincrease",13,0
"741",21,"poor","fastdrying","fastincrease",13,0
"742",22,"poor","fastdrying","fastincrease",13,0
"743",23,"poor","fastdrying","fastincrease",13,0
"744",24,"poor","fastdrying","fastincrease",13,0
"745",25,"poor","fastdrying","slowincrease",13,0
"746",26,"poor","fastdrying","slowincrease",13,0
"747",27,"poor","fastdrying","slowincrease",13,0
"748",28,"poor","fastdrying","slowincrease",13,0
"749",29,"poor","fastdrying","slowincrease",13,0
"750",30,"poor","fastdrying","slowincrease",13,0
"757",37,"good","slowdrying","fastincrease",13,0
"758",38,"good","slowdrying","fastincrease",13,0
"759",39,"good","slowdrying","fastincrease",13,18
"760",40,"good","slowdrying","fastincrease",13,34
"761",41,"good","slowdrying","fastincrease",13,0
"762",42,"good","slowdrying","fastincrease",13,0
"763",43,"good","slowdrying","slowincrease",13,51
"764",44,"good","slowdrying","slowincrease",13,6
"765",45,"good","slowdrying","slowincrease",13,16
"766",46,"good","slowdrying","slowincrease",13,42
"767",47,"good","slowdrying","slowincrease",13,0
"768",48,"good","slowdrying","slowincrease",13,10
"769",49,"good","fastdrying","fastincrease",13,0
"770",50,"good","fastdrying","fastincrease",13,0
"771",51,"good","fastdrying","fastincrease",13,0
"772",52,"good","fastdrying","fastincrease",13,0
"773",53,"good","fastdrying","fastincrease",13,0
"774",54,"good","fastdrying","fastincrease",13,0
"775",55,"good","fastdrying","slowincrease",13,0
"776",56,"good","fastdrying","slowincrease",13,2
"777",57,"good","fastdrying","slowincrease",13,0
"778",58,"good","fastdrying","slowincrease",13,0
"779",59,"good","fastdrying","slowincrease",13,0
"780",60,"good","fastdrying","slowincrease",13,0
"787",7,"poor","slowdrying","fastincrease",14,0
"788",8,"poor","slowdrying","fastincrease",14,0
"789",9,"poor","slowdrying","fastincrease",14,0
"790",10,"poor","slowdrying","fastincrease",14,0
"791",11,"poor","slowdrying","fastincrease",14,0
"792",12,"poor","slowdrying","fastincrease",14,0
"793",13,"poor","slowdrying","slowincrease",14,0
"794",14,"poor","slowdrying","slowincrease",14,0
"795",15,"poor","slowdrying","slowincrease",14,0
"796",16,"poor","slowdrying","slowincrease",14,0
"797",17,"poor","slowdrying","slowincrease",14,0
"798",18,"poor","slowdrying","slowincrease",14,0
"799",19,"poor","fastdrying","fastincrease",14,0
"800",20,"poor","fastdrying","fastincrease",14,0
"801",21,"poor","fastdrying","fastincrease",14,0
"802",22,"poor","fastdrying","fastincrease",14,0
"803",23,"poor","fastdrying","fastincrease",14,0
"804",24,"poor","fastdrying","fastincrease",14,0
"805",25,"poor","fastdrying","slowincrease",14,0
"806",26,"poor","fastdrying","slowincrease",14,0
"807",27,"poor","fastdrying","slowincrease",14,0
"808",28,"poor","fastdrying","slowincrease",14,0
"809",29,"poor","fastdrying","slowincrease",14,0
"810",30,"poor","fastdrying","slowincrease",14,0
